episode,agent,is_bps,total_reward,remaining_shares,timestamp
3,VWAP,7.9116,-39558.1928,0,2026-03-13T01:24:01.258979+00:00
4,VWAP,5.8725,-29377.0777,0,2026-03-13T01:24:01.259075+00:00
0,Aggressive,13.2509,-66254.4596,0,2026-03-13T01:24:01.318368+00:00
1,Aggressive,6.1528,-30779.5733,0,2026-03-13T01:24:01.318677+00:00
2,Aggressive,6.9111,-34538.3609,0,2026-03-13T01:24:01.318824+00:00
3,Aggressive,13.2394,-66197.1751,0,2026-03-13T01:24:01.318936+00:00
4,Aggressive,18.9393,-94744.0378,0,2026-03-13T01:24:01.319035+00:00
0,Patient,11.8699,-59349.605,5,2026-03-13T01:24:01.413719+00:00
1,Patient,5.799,-29009.5379,5,2026-03-13T01:24:01.414017+00:00
2,Patient,10.6646,-53296.3402,5,2026-03-13T01:24:01.414163+00:00
3,Patient,8.0216,-40108.1204,5,2026-03-13T01:24:01.414281+00:00
4,Patient,5.9375,-29702.1453,5,2026-03-13T01:24:01.414403+00:00
0,Belief,11.9699,-59849.6917,0,2026-03-13T01:24:01.551530+00:00
1,Belief,5.784,-28934.4932,0,2026-03-13T01:24:01.551832+00:00
2,Belief,10.7497,-53721.6732,0,2026-03-13T01:24:01.551982+00:00
3,Belief,7.9116,-39558.1928,0,2026-03-13T01:24:01.552094+00:00
4,Belief,5.8725,-29377.0777,0,2026-03-13T01:24:01.552219+00:00
episode,agent,is_bps,total_reward,remaining_shares,timestamp
0,Random,15.4237,-77118.397,0,2026-03-13T01:34:07.772058+00:00
1,Random,4.1884,-20952.5489,0,2026-03-13T01:34:07.772490+00:00
2,Random,6.8184,-34074.9405,0,2026-03-13T01:34:07.772667+00:00
0,TWAP,11.9699,-59849.6917,0,2026-03-13T01:34:07.839298+00:00
1,TWAP,5.784,-28934.4932,0,2026-03-13T01:34:07.839602+00:00
2,TWAP,10.7497,-53721.6732,0,2026-03-13T01:34:07.839739+00:00
0,VWAP,11.9699,-59849.6917,0,2026-03-13T01:34:07.908872+00:00
1,VWAP,5.784,-28934.4932,0,2026-03-13T01:34:07.909149+00:00
2,VWAP,10.7497,-53721.6732,0,2026-03-13T01:34:07.909290+00:00
0,Aggressive,13.2509,-66254.4596,0,2026-03-13T01:34:07.944727+00:00
1,Aggressive,6.1528,-30779.5733,0,2026-03-13T01:34:07.945007+00:00
